ngo_name,coverage_level,coverage_area,category,capacity_score
Relief Nepal Achham #2,district,Achham,Emergency Communications,57.83
Relief Nepal Achham #2,district,Achham,Emergency Food Distribution,80.59
Relief Nepal Achham #2,district,Achham,Emergency Health Response,88.22
Relief Nepal Achham #2,district,Achham,Emergency Logistics & Transportation,82.52
Relief Nepal Achham #2,district,Achham,Emergency Shelter & Housing,71.34
Relief Nepal Achham #2,district,Achham,Immediate Cash Assistance,50.73
Relief Nepal Achham #2,district,Achham,Psychosocial First Aid,50.3
Relief Nepal Achham #2,district,Achham,"Search, Rescue & Evacuation",78.72
Relief Nepal Achham #2,district,Achham,Water & Sanitation Recovery,74.31
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Agricultural Recovery,86.98
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Critical Infrastructure Restoration,61.89
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Emergency Communications,51.36
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Emergency Food Distribution,78.22
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Emergency Health Response,72.72
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Emergency Logistics & Transportation,87.01
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Emergency Shelter & Housing,87.76
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Immediate Cash Assistance,86.62
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Psychosocial First Aid,77.9
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,"Search, Rescue & Evacuation",57.22
Relief Nepal Arghakhanchi #1,district,Arghakhanchi,Water & Sanitation Recovery,51.58
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Agricultural Recovery,54.82
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Critical Infrastructure Restoration,59.2
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Emergency Communications,51.48
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Emergency Food Distribution,68.97
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Emergency Health Response,62.76
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Emergency Logistics & Transportation,84.48
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Emergency Shelter & Housing,88.84
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Immediate Cash Assistance,83.16
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Psychosocial First Aid,73.84
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,"Search, Rescue & Evacuation",83.78
Relief Nepal Arghakhanchi #2,district,Arghakhanchi,Water & Sanitation Recovery,87.77
Relief Nepal Baglung #1,district,Baglung,Agricultural Recovery,77.76
Relief Nepal Baglung #1,district,Baglung,Critical Infrastructure Restoration,75.65
Relief Nepal Baglung #1,district,Baglung,Emergency Communications,78.89
Relief Nepal Baglung #1,district,Baglung,Emergency Food Distribution,55.1
Relief Nepal Baglung #1,district,Baglung,Emergency Health Response,56.0
Relief Nepal Baglung #1,district,Baglung,Emergency Logistics & Transportation,65.89
Relief Nepal Baglung #1,district,Baglung,Emergency Shelter & Housing,54.43
Relief Nepal Baglung #1,district,Baglung,Immediate Cash Assistance,59.17
Relief Nepal Baglung #1,district,Baglung,Psychosocial First Aid,78.8
Relief Nepal Baglung #1,district,Baglung,"Search, Rescue & Evacuation",81.89
Relief Nepal Baglung #1,district,Baglung,Water & Sanitation Recovery,83.86
Relief Nepal Baglung #2,district,Baglung,Agricultural Recovery,73.45
Relief Nepal Baglung #2,district,Baglung,Critical Infrastructure Restoration,56.13
Relief Nepal Baglung #2,district,Baglung,Emergency Communications,68.48
Relief Nepal Baglung #2,district,Baglung,Emergency Food Distribution,63.83
Relief Nepal Baglung #2,district,Baglung,Emergency Health Response,73.34
Relief Nepal Baglung #2,district,Baglung,Emergency Logistics & Transportation,57.26
Relief Nepal Baglung #2,district,Baglung,Emergency Shelter & Housing,71.7
Relief Nepal Baglung #2,district,Baglung,Immediate Cash Assistance,66.03
Relief Nepal Baglung #2,district,Baglung,Psychosocial First Aid,87.89
Relief Nepal Baglung #2,district,Baglung,"Search, Rescue & Evacuation",86.34
Relief Nepal Baglung #2,district,Baglung,Water & Sanitation Recovery,60.07
Relief Nepal Baitadi #1,district,Baitadi,Agricultural Recovery,82.12
Relief Nepal Baitadi #1,district,Baitadi,Critical Infrastructure Restoration,62.29
Relief Nepal Baitadi #1,district,Baitadi,Emergency Communications,60.27
Relief Nepal Baitadi #1,district,Baitadi,Emergency Food Distribution,52.41
Relief Nepal Baitadi #1,district,Baitadi,Emergency Health Response,54.06
Relief Nepal Baitadi #1,district,Baitadi,Emergency Logistics & Transportation,87.38
Relief Nepal Baitadi #1,district,Baitadi,Emergency Shelter & Housing,59.74
Relief Nepal Baitadi #1,district,Baitadi,Immediate Cash Assistance,69.43
Relief Nepal Baitadi #1,district,Baitadi,Psychosocial First Aid,61.39
Relief Nepal Baitadi #1,district,Baitadi,"Search, Rescue & Evacuation",64.06
Relief Nepal Baitadi #1,district,Baitadi,Water & Sanitation Recovery,87.08
Relief Nepal Baitadi #2,district,Baitadi,Agricultural Recovery,71.01
Relief Nepal Baitadi #2,district,Baitadi,Critical Infrastructure Restoration,57.26
Relief Nepal Baitadi #2,district,Baitadi,Emergency Communications,57.25
Relief Nepal Baitadi #2,district,Baitadi,Emergency Food Distribution,74.41
Relief Nepal Baitadi #2,district,Baitadi,Emergency Health Response,66.54
Relief Nepal Baitadi #2,district,Baitadi,Emergency Logistics & Transportation,78.65
Relief Nepal Baitadi #2,district,Baitadi,Emergency Shelter & Housing,71.56
Relief Nepal Baitadi #2,district,Baitadi,Immediate Cash Assistance,54.88
Relief Nepal Baitadi #2,district,Baitadi,Psychosocial First Aid,77.23
Relief Nepal Baitadi #2,district,Baitadi,"Search, Rescue & Evacuation",60.9
Relief Nepal Baitadi #2,district,Baitadi,Water & Sanitation Recovery,62.45
Relief Nepal Bajhang #1,district,Bajhang,Agricultural Recovery,88.06
Relief Nepal Bajhang #1,district,Bajhang,Critical Infrastructure Restoration,75.33
Relief Nepal Bajhang #1,district,Bajhang,Emergency Communications,72.01
Relief Nepal Bajhang #1,district,Bajhang,Emergency Food Distribution,72.69
Relief Nepal Bajhang #1,district,Bajhang,Emergency Health Response,69.34
Relief Nepal Bajhang #1,district,Bajhang,Emergency Logistics & Transportation,60.26
Relief Nepal Bajhang #1,district,Bajhang,Emergency Shelter & Housing,78.36
Relief Nepal Bajhang #1,district,Bajhang,Immediate Cash Assistance,82.24
Relief Nepal Bajhang #1,district,Bajhang,Psychosocial First Aid,51.74
Relief Nepal Bajhang #1,district,Bajhang,"Search, Rescue & Evacuation",88.52
Relief Nepal Bajhang #1,district,Bajhang,Water & Sanitation Recovery,54.28
Relief Nepal Bajhang #2,district,Bajhang,Agricultural Recovery,59.47
Relief Nepal Bajhang #2,district,Bajhang,Critical Infrastructure Restoration,64.14
Relief Nepal Bajhang #2,district,Bajhang,Emergency Communications,83.59
Relief Nepal Bajhang #2,district,Bajhang,Emergency Food Distribution,85.37
Relief Nepal Bajhang #2,district,Bajhang,Emergency Health Response,74.44
Relief Nepal Bajhang #2,district,Bajhang,Emergency Logistics & Transportation,59.12
Relief Nepal Bajhang #2,district,Bajhang,Emergency Shelter & Housing,74.06
Relief Nepal Bajhang #2,district,Bajhang,Immediate Cash Assistance,66.44
Relief Nepal Bajhang #2,district,Bajhang,Psychosocial First Aid,86.0
Relief Nepal Bajhang #2,district,Bajhang,"Search, Rescue & Evacuation",58.48
Relief Nepal Bajhang #2,district,Bajhang,Water & Sanitation Recovery,82.77
Relief Nepal Bajura #1,district,Bajura,Agricultural Recovery,79.47
Relief Nepal Bajura #1,district,Bajura,Critical Infrastructure Restoration,56.72
Relief Nepal Bajura #1,district,Bajura,Emergency Communications,68.06
Relief Nepal Bajura #1,district,Bajura,Emergency Food Distribution,82.9
Relief Nepal Bajura #1,district,Bajura,Emergency Health Response,53.82
Relief Nepal Bajura #1,district,Bajura,Emergency Logistics & Transportation,66.95
Relief Nepal Bajura #1,district,Bajura,Emergency Shelter & Housing,81.22
Relief Nepal Bajura #1,district,Bajura,Immediate Cash Assistance,74.95
Relief Nepal Bajura #1,district,Bajura,Psychosocial First Aid,73.45
Relief Nepal Bajura #1,district,Bajura,"Search, Rescue & Evacuation",76.7
Relief Nepal Bajura #1,district,Bajura,Water & Sanitation Recovery,60.99
Relief Nepal Bajura #2,district,Bajura,Agricultural Recovery,69.87
Relief Nepal Bajura #2,district,Bajura,Critical Infrastructure Restoration,73.78
Relief Nepal Bajura #2,district,Bajura,Emergency Communications,59.28
Relief Nepal Bajura #2,district,Bajura,Emergency Food Distribution,53.83
Relief Nepal Bajura #2,district,Bajura,Emergency Health Response,74.28
Relief Nepal Bajura #2,district,Bajura,Emergency Logistics & Transportation,50.95
Relief Nepal Bajura #2,district,Bajura,Emergency Shelter & Housing,84.51
Relief Nepal Bajura #2,district,Bajura,Immediate Cash Assistance,71.87
Relief Nepal Bajura #2,district,Bajura,Psychosocial First Aid,65.64
Relief Nepal Bajura #2,district,Bajura,"Search, Rescue & Evacuation",75.68
Relief Nepal Bajura #2,district,Bajura,Water & Sanitation Recovery,58.67
Relief Nepal Banke #1,district,Banke,Agricultural Recovery,85.44
Relief Nepal Banke #1,district,Banke,Critical Infrastructure Restoration,75.04
Relief Nepal Banke #1,district,Banke,Emergency Communications,81.63
Relief Nepal Banke #1,district,Banke,Emergency Food Distribution,63.59
Relief Nepal Banke #1,district,Banke,Emergency Health Response,62.61
Relief Nepal Banke #1,district,Banke,Emergency Logistics & Transportation,78.98
Relief Nepal Banke #1,district,Banke,Emergency Shelter & Housing,53.08
Relief Nepal Banke #1,district,Banke,Immediate Cash Assistance,71.58
Relief Nepal Banke #1,district,Banke,Psychosocial First Aid,62.75
Relief Nepal Banke #1,district,Banke,"Search, Rescue & Evacuation",52.61
Relief Nepal Banke #1,district,Banke,Water & Sanitation Recovery,77.84
Relief Nepal Banke #2,district,Banke,Agricultural Recovery,64.03
Relief Nepal Banke #2,district,Banke,Critical Infrastructure Restoration,89.92
Relief Nepal Banke #2,district,Banke,Emergency Communications,87.56
Relief Nepal Banke #2,district,Banke,Emergency Food Distribution,50.98
Relief Nepal Banke #2,district,Banke,Emergency Health Response,84.99
Relief Nepal Banke #2,district,Banke,Emergency Logistics & Transportation,84.8
Relief Nepal Banke #2,district,Banke,Emergency Shelter & Housing,74.63
Relief Nepal Banke #2,district,Banke,Immediate Cash Assistance,71.16
Relief Nepal Banke #2,district,Banke,Psychosocial First Aid,81.95
Relief Nepal Banke #2,district,Banke,"Search, Rescue & Evacuation",50.85
Relief Nepal Banke #2,district,Banke,Water & Sanitation Recovery,59.32
Relief Nepal Bara #1,district,Bara,Agricultural Recovery,56.26
Relief Nepal Bara #1,district,Bara,Critical Infrastructure Restoration,56.93
Relief Nepal Bara #1,district,Bara,Emergency Communications,77.84
Relief Nepal Bara #1,district,Bara,Emergency Food Distribution,67.56
Relief Nepal Bara #1,district,Bara,Emergency Health Response,88.51
Relief Nepal Bara #1,district,Bara,Emergency Logistics & Transportation,53.14
Relief Nepal Bara #1,district,Bara,Emergency Shelter & Housing,81.81
Relief Nepal Bara #1,district,Bara,Immediate Cash Assistance,83.44
Relief Nepal Bara #1,district,Bara,Psychosocial First Aid,66.36
Relief Nepal Bara #1,district,Bara,"Search, Rescue & Evacuation",51.01
Relief Nepal Bara #1,district,Bara,Water & Sanitation Recovery,60.83
Relief Nepal Bara #2,district,Bara,Agricultural Recovery,59.91
Relief Nepal Bara #2,district,Bara,Critical Infrastructure Restoration,66.78
Relief Nepal Bara #2,district,Bara,Emergency Communications,72.17
Relief Nepal Bara #2,district,Bara,Emergency Food Distribution,78.58
Relief Nepal Bara #2,district,Bara,Emergency Health Response,88.19
Relief Nepal Bara #2,district,Bara,Emergency Logistics & Transportation,76.41
Relief Nepal Bara #2,district,Bara,Emergency Shelter & Housing,60.01
Relief Nepal Bara #2,district,Bara,Immediate Cash Assistance,79.52
Relief Nepal Bara #2,district,Bara,Psychosocial First Aid,74.47
Relief Nepal Bara #2,district,Bara,"Search, Rescue & Evacuation",61.2
Relief Nepal Bara #2,district,Bara,Water & Sanitation Recovery,71.97
Relief Nepal Bardiya #1,district,Bardiya,Agricultural Recovery,59.55
Relief Nepal Bardiya #1,district,Bardiya,Critical Infrastructure Restoration,79.5
Relief Nepal Bardiya #1,district,Bardiya,Emergency Communications,66.7
Relief Nepal Bardiya #1,district,Bardiya,Emergency Food Distribution,69.2
Relief Nepal Bardiya #1,district,Bardiya,Emergency Health Response,89.36
Relief Nepal Bardiya #1,district,Bardiya,Emergency Logistics & Transportation,75.09
Relief Nepal Bardiya #1,district,Bardiya,Emergency Shelter & Housing,80.69
Relief Nepal Bardiya #1,district,Bardiya,Immediate Cash Assistance,80.73
Relief Nepal Bardiya #1,district,Bardiya,Psychosocial First Aid,66.84
Relief Nepal Bardiya #1,district,Bardiya,"Search, Rescue & Evacuation",84.95
Relief Nepal Bardiya #1,district,Bardiya,Water & Sanitation Recovery,66.08
Relief Nepal Bardiya #2,district,Bardiya,Agricultural Recovery,77.19
Relief Nepal Bardiya #2,district,Bardiya,Critical Infrastructure Restoration,65.37
Relief Nepal Bardiya #2,district,Bardiya,Emergency Communications,89.51
Relief Nepal Bardiya #2,district,Bardiya,Emergency Food Distribution,61.49
Relief Nepal Bardiya #2,district,Bardiya,Emergency Health Response,51.68
Relief Nepal Bardiya #2,district,Bardiya,Emergency Logistics & Transportation,61.85
Relief Nepal Bardiya #2,district,Bardiya,Emergency Shelter & Housing,54.42
Relief Nepal Bardiya #2,district,Bardiya,Immediate Cash Assistance,50.71
Relief Nepal Bardiya #2,district,Bardiya,Psychosocial First Aid,67.11
Relief Nepal Bardiya #2,district,Bardiya,"Search, Rescue & Evacuation",59.34
Relief Nepal Bardiya #2,district,Bardiya,Water & Sanitation Recovery,64.18
Relief Nepal Bhaktapur #1,district,Bhaktapur,Agricultural Recovery,68.55
Relief Nepal Bhaktapur #1,district,Bhaktapur,Critical Infrastructure Restoration,57.52
Relief Nepal Bhaktapur #1,district,Bhaktapur,Emergency Communications,74.81
Relief Nepal Bhaktapur #1,district,Bhaktapur,Emergency Food Distribution,51.82
Relief Nepal Bhaktapur #1,district,Bhaktapur,Emergency Health Response,85.61
Relief Nepal Bhaktapur #1,district,Bhaktapur,Emergency Logistics & Transportation,61.24
Relief Nepal Bhaktapur #1,district,Bhaktapur,Emergency Shelter & Housing,73.37
Relief Nepal Bhaktapur #1,district,Bhaktapur,Immediate Cash Assistance,68.23
Relief Nepal Bhaktapur #1,district,Bhaktapur,Psychosocial First Aid,61.1
Relief Nepal Bhaktapur #1,district,Bhaktapur,"Search, Rescue & Evacuation",88.02
Relief Nepal Bhaktapur #1,district,Bhaktapur,Water & Sanitation Recovery,86.05
Relief Nepal Bhaktapur #2,district,Bhaktapur,Agricultural Recovery,56.5
Relief Nepal Bhaktapur #2,district,Bhaktapur,Critical Infrastructure Restoration,77.39
Relief Nepal Bhaktapur #2,district,Bhaktapur,Emergency Communications,62.38
Relief Nepal Bhaktapur #2,district,Bhaktapur,Emergency Food Distribution,53.11
Relief Nepal Bhaktapur #2,district,Bhaktapur,Emergency Health Response,77.93
Relief Nepal Bhaktapur #2,district,Bhaktapur,Emergency Logistics & Transportation,88.98
Relief Nepal Bhaktapur #2,district,Bhaktapur,Emergency Shelter & Housing,64.13
Relief Nepal Bhaktapur #2,district,Bhaktapur,Immediate Cash Assistance,71.44
Relief Nepal Bhaktapur #2,district,Bhaktapur,Psychosocial First Aid,82.55
Relief Nepal Bhaktapur #2,district,Bhaktapur,"Search, Rescue & Evacuation",89.45
Relief Nepal Bhaktapur #2,district,Bhaktapur,Water & Sanitation Recovery,73.34
Relief Nepal Bhojpur #1,district,Bhojpur,Agricultural Recovery,50.82
Relief Nepal Bhojpur #1,district,Bhojpur,Critical Infrastructure Restoration,78.31
Relief Nepal Bhojpur #1,district,Bhojpur,Emergency Communications,84.65
Relief Nepal Bhojpur #1,district,Bhojpur,Emergency Food Distribution,79.28
Relief Nepal Bhojpur #1,district,Bhojpur,Emergency Health Response,56.24
Relief Nepal Bhojpur #1,district,Bhojpur,Emergency Logistics & Transportation,73.95
Relief Nepal Bhojpur #1,district,Bhojpur,Emergency Shelter & Housing,64.98
Relief Nepal Bhojpur #1,district,Bhojpur,Immediate Cash Assistance,52.32
Relief Nepal Bhojpur #1,district,Bhojpur,Psychosocial First Aid,74.04
Relief Nepal Bhojpur #1,district,Bhojpur,"Search, Rescue & Evacuation",56.24
Relief Nepal Bhojpur #1,district,Bhojpur,Water & Sanitation Recovery,88.03
Relief Nepal Bhojpur #2,district,Bhojpur,Agricultural Recovery,55.58
Relief Nepal Bhojpur #2,district,Bhojpur,Critical Infrastructure Restoration,74.47
Relief Nepal Bhojpur #2,district,Bhojpur,Emergency Communications,67.28
Relief Nepal Bhojpur #2,district,Bhojpur,Emergency Food Distribution,58.49
Relief Nepal Bhojpur #2,district,Bhojpur,Emergency Health Response,62.17
Relief Nepal Bhojpur #2,district,Bhojpur,Emergency Logistics & Transportation,57.27
Relief Nepal Bhojpur #2,district,Bhojpur,Emergency Shelter & Housing,88.8
Relief Nepal Bhojpur #2,district,Bhojpur,Immediate Cash Assistance,70.98
Relief Nepal Bhojpur #2,district,Bhojpur,Psychosocial First Aid,61.65
Relief Nepal Bhojpur #2,district,Bhojpur,"Search, Rescue & Evacuation",57.34
Relief Nepal Bhojpur #2,district,Bhojpur,Water & Sanitation Recovery,83.3
Relief Nepal Chitwan #1,district,Chitwan,Agricultural Recovery,65.06
Relief Nepal Chitwan #1,district,Chitwan,Critical Infrastructure Restoration,51.05
Relief Nepal Chitwan #1,district,Chitwan,Emergency Communications,84.64
Relief Nepal Chitwan #1,district,Chitwan,Emergency Food Distribution,87.99
Relief Nepal Chitwan #1,district,Chitwan,Emergency Health Response,66.73
Relief Nepal Chitwan #1,district,Chitwan,Emergency Logistics & Transportation,79.03
Relief Nepal Chitwan #1,district,Chitwan,Emergency Shelter & Housing,86.44
Relief Nepal Chitwan #1,district,Chitwan,Immediate Cash Assistance,87.31
Relief Nepal Chitwan #1,district,Chitwan,Psychosocial First Aid,51.81
Relief Nepal Chitwan #1,district,Chitwan,"Search, Rescue & Evacuation",74.54
Relief Nepal Chitwan #1,district,Chitwan,Water & Sanitation Recovery,82.9
Relief Nepal Chitwan #2,district,Chitwan,Agricultural Recovery,60.94
Relief Nepal Chitwan #2,district,Chitwan,Critical Infrastructure Restoration,66.59
Relief Nepal Chitwan #2,district,Chitwan,Emergency Communications,83.53
Relief Nepal Chitwan #2,district,Chitwan,Emergency Food Distribution,56.02
Relief Nepal Chitwan #2,district,Chitwan,Emergency Health Response,88.8
Relief Nepal Chitwan #2,district,Chitwan,Emergency Logistics & Transportation,73.77
Relief Nepal Chitwan #2,district,Chitwan,Emergency Shelter & Housing,82.42
Relief Nepal Chitwan #2,district,Chitwan,Immediate Cash Assistance,83.68
Relief Nepal Chitwan #2,district,Chitwan,Psychosocial First Aid,68.75
Relief Nepal Chitwan #2,district,Chitwan,"Search, Rescue & Evacuation",65.23
Relief Nepal Chitwan #2,district,Chitwan,Water & Sanitation Recovery,89.49
Relief Nepal Dadeldhura #1,district,Dadeldhura,Agricultural Recovery,78.97
Relief Nepal Dadeldhura #1,district,Dadeldhura,Critical Infrastructure Restoration,54.16
Relief Nepal Dadeldhura #1,district,Dadeldhura,Emergency Communications,89.65
Relief Nepal Dadeldhura #1,district,Dadeldhura,Emergency Food Distribution,77.81
Relief Nepal Dadeldhura #1,district,Dadeldhura,Emergency Health Response,78.7
Relief Nepal Dadeldhura #1,district,Dadeldhura,Emergency Logistics & Transportation,66.17
Relief Nepal Dadeldhura #1,district,Dadeldhura,Emergency Shelter & Housing,89.51
Relief Nepal Dadeldhura #1,district,Dadeldhura,Immediate Cash Assistance,77.7
Relief Nepal Dadeldhura #1,district,Dadeldhura,Psychosocial First Aid,55.14
Relief Nepal Dadeldhura #1,district,Dadeldhura,"Search, Rescue & Evacuation",67.13
Relief Nepal Dadeldhura #1,district,Dadeldhura,Water & Sanitation Recovery,55.46
Relief Nepal Dadeldhura #2,district,Dadeldhura,Agricultural Recovery,70.76
Relief Nepal Dadeldhura #2,district,Dadeldhura,Critical Infrastructure Restoration,52.78
Relief Nepal Dadeldhura #2,district,Dadeldhura,Emergency Communications,59.07
Relief Nepal Dadeldhura #2,district,Dadeldhura,Emergency Food Distribution,53.18
Relief Nepal Dadeldhura #2,district,Dadeldhura,Emergency Health Response,57.67
Relief Nepal Dadeldhura #2,district,Dadeldhura,Emergency Logistics & Transportation,53.43
Relief Nepal Dadeldhura #2,district,Dadeldhura,Emergency Shelter & Housing,73.14
Relief Nepal Dadeldhura #2,district,Dadeldhura,Immediate Cash Assistance,62.93
Relief Nepal Dadeldhura #2,district,Dadeldhura,Psychosocial First Aid,64.2
Relief Nepal Dadeldhura #2,district,Dadeldhura,"Search, Rescue & Evacuation",85.77
Relief Nepal Dadeldhura #2,district,Dadeldhura,Water & Sanitation Recovery,60.97
Relief Nepal Dailekh #1,district,Dailekh,Agricultural Recovery,53.51
Relief Nepal Dailekh #1,district,Dailekh,Critical Infrastructure Restoration,70.7
Relief Nepal Dailekh #1,district,Dailekh,Emergency Communications,50.39
Relief Nepal Dailekh #1,district,Dailekh,Emergency Food Distribution,55.7
Relief Nepal Dailekh #1,district,Dailekh,Emergency Health Response,78.09
Relief Nepal Dailekh #1,district,Dailekh,Emergency Logistics & Transportation,69.95
Relief Nepal Dailekh #1,district,Dailekh,Emergency Shelter & Housing,59.68
Relief Nepal Dailekh #1,district,Dailekh,Immediate Cash Assistance,72.39
Relief Nepal Dailekh #1,district,Dailekh,Psychosocial First Aid,63.06
Relief Nepal Dailekh #1,district,Dailekh,"Search, Rescue & Evacuation",74.73
Relief Nepal Dailekh #1,district,Dailekh,Water & Sanitation Recovery,89.47
Relief Nepal Dailekh #2,district,Dailekh,Agricultural Recovery,54.18
Relief Nepal Dailekh #2,district,Dailekh,Critical Infrastructure Restoration,56.7
Relief Nepal Dailekh #2,district,Dailekh,Emergency Communications,82.02
Relief Nepal Dailekh #2,district,Dailekh,Emergency Food Distribution,53.14
Relief Nepal Dailekh #2,district,Dailekh,Emergency Health Response,72.7
Relief Nepal Dailekh #2,district,Dailekh,Emergency Logistics & Transportation,65.88
Relief Nepal Dailekh #2,district,Dailekh,Emergency Shelter & Housing,64.03
Relief Nepal Dailekh #2,district,Dailekh,Immediate Cash Assistance,77.58
Relief Nepal Dailekh #2,district,Dailekh,Psychosocial First Aid,58.01
Relief Nepal Dailekh #2,district,Dailekh,"Search, Rescue & Evacuation",55.31
Relief Nepal Dailekh #2,district,Dailekh,Water & Sanitation Recovery,51.33
Relief Nepal Dang #1,district,Dang,Agricultural Recovery,89.65
Relief Nepal Dang #1,district,Dang,Critical Infrastructure Restoration,56.68
Relief Nepal Dang #1,district,Dang,Emergency Communications,68.7
Relief Nepal Dang #1,district,Dang,Emergency Food Distribution,81.45
Relief Nepal Dang #1,district,Dang,Emergency Health Response,85.16
Relief Nepal Dang #1,district,Dang,Emergency Logistics & Transportation,53.58
Relief Nepal Dang #1,district,Dang,Emergency Shelter & Housing,58.73
Relief Nepal Dang #1,district,Dang,Immediate Cash Assistance,87.79
Relief Nepal Dang #1,district,Dang,Psychosocial First Aid,74.54
Relief Nepal Dang #1,district,Dang,"Search, Rescue & Evacuation",66.7
