NGO,district,match,urgency,fitness_score
CARE Nepal,Panchthar,0.0,44.98,17.99
CARE Nepal,Parasi,50.0,51.52,50.61
CARE Nepal,Parbat,50.0,66.99,56.79
CARE Nepal,Parsa,66.67,57.2,62.88
CARE Nepal,Pyuthan,66.67,61.13,64.45
CARE Nepal,Ramechhap,60.0,70.45,64.18
CARE Nepal,Rasuwa,100.0,65.78,86.31
CARE Nepal,Rautahat,66.67,57.41,62.96
CARE Nepal,Rolpa,60.0,62.17,60.87
CARE Nepal,Rukum (East),0.0,44.16,17.66
CARE Nepal,Rukum (West),50.0,62.16,54.86
CARE Nepal,Rupandehi,50.0,59.5,53.8
CARE Nepal,Salyan,33.33,52.66,41.07
CARE Nepal,Sankhuwasabha,60.0,64.54,61.82
CARE Nepal,Saptari,100.0,59.66,83.86
CARE Nepal,Sarlahi,66.67,64.32,65.73
CARE Nepal,Sindhuli,50.0,46.7,48.68
CARE Nepal,Sindhupalchok,60.0,83.9,69.56
CARE Nepal,Siraha,50.0,46.54,48.62
CARE Nepal,Solukhumbu,50.0,42.8,47.12
CARE Nepal,Sunsari,66.67,50.86,60.35
CARE Nepal,Surkhet,60.0,63.47,61.39
CARE Nepal,Syangja,33.33,54.21,41.68
CARE Nepal,Tanahun,50.0,62.7,55.08
CARE Nepal,Taplejung,66.67,53.6,61.44
CARE Nepal,Terhathum,75.0,66.04,71.42
CARE Nepal,Udayapur,50.0,35.95,44.38
FAO,Achham,0.0,62.75,25.1
FAO,Arghakhanchi,0.0,71.47,28.59
FAO,Baglung,0.0,52.63,21.05
FAO,Baitadi,0.0,69.89,27.96
FAO,Bajhang,0.0,67.1,26.84
FAO,Bajura,0.0,63.77,25.51
FAO,Banke,0.0,64.48,25.79
FAO,Bara,0.0,57.38,22.95
FAO,Bardiya,0.0,47.41,18.96
FAO,Bhaktapur,0.0,61.9,24.76
FAO,Bhojpur,50.0,39.3,45.72
FAO,Chitwan,50.0,40.45,46.18
FAO,Dadeldhura,0.0,71.21,28.48
FAO,Dailekh,0.0,59.2,23.68
FAO,Dang,0.0,54.8,21.92
FAO,Darchula,0.0,66.16,26.46
FAO,Dhading,0.0,74.0,29.6
FAO,Dhankuta,0.0,63.64,25.46
FAO,Dhanusha,0.0,57.27,22.91
FAO,Dolakha,0.0,75.1,30.04
FAO,Dolpa,0.0,55.32,22.13
FAO,Doti,0.0,71.28,28.51
FAO,Gorkha,0.0,79.1,31.64
FAO,Gulmi,0.0,48.32,19.33
FAO,Humla,0.0,69.08,27.63
FAO,Ilam,0.0,58.62,23.45
FAO,Jajarkot,0.0,53.69,21.48
FAO,Jhapa,0.0,52.21,20.88
FAO,Jumla,0.0,52.45,20.98
FAO,Kailali,0.0,56.18,22.47
FAO,Kalikot,0.0,55.37,22.15
FAO,Kanchanpur,0.0,60.94,24.37
FAO,Kapilvastu,0.0,65.85,26.34
FAO,Kaski,0.0,64.39,25.75
FAO,Kathmandu,0.0,60.65,24.26
FAO,Kavrepalanchok,0.0,65.8,26.32
FAO,Khotang,50.0,41.25,46.5
FAO,Lalitpur,0.0,57.1,22.84
FAO,Lamjung,50.0,46.7,48.68
FAO,Mahottari,0.0,58.84,23.54
FAO,Makwanpur,0.0,51.2,20.48
FAO,Manang,0.0,54.58,21.83
FAO,Morang,0.0,57.53,23.01
FAO,Mugu,0.0,52.87,21.15
FAO,Mustang,0.0,69.51,27.8
FAO,Myagdi,0.0,60.77,24.31
FAO,Nawalpur,0.0,58.64,23.46
FAO,Nuwakot,0.0,69.9,27.96
FAO,Okhaldhunga,50.0,44.45,47.78
FAO,Palpa,0.0,52.98,21.19
FAO,Panchthar,0.0,44.98,17.99
FAO,Parasi,0.0,51.52,20.61
FAO,Parbat,0.0,66.99,26.79
FAO,Parsa,0.0,57.2,22.88
FAO,Pyuthan,0.0,61.13,24.45
FAO,Ramechhap,0.0,70.45,28.18
FAO,Rasuwa,0.0,65.78,26.31
FAO,Rautahat,0.0,57.41,22.96
FAO,Rolpa,0.0,62.17,24.87
FAO,Rukum (East),0.0,44.16,17.66
FAO,Rukum (West),0.0,62.16,24.86
FAO,Rupandehi,0.0,59.5,23.8
FAO,Salyan,0.0,52.66,21.07
FAO,Sankhuwasabha,0.0,64.54,25.82
FAO,Saptari,0.0,59.66,23.86
FAO,Sarlahi,0.0,64.32,25.73
FAO,Sindhuli,50.0,46.7,48.68
FAO,Sindhupalchok,0.0,83.9,33.56
FAO,Siraha,0.0,46.54,18.62
FAO,Solukhumbu,50.0,42.8,47.12
FAO,Sunsari,0.0,50.86,20.35
FAO,Surkhet,0.0,63.47,25.39
FAO,Syangja,0.0,54.21,21.68
FAO,Tanahun,0.0,62.7,25.08
FAO,Taplejung,0.0,53.6,21.44
FAO,Terhathum,0.0,66.04,26.42
FAO,Udayapur,50.0,35.95,44.38
Habitat for Humanity,Achham,33.33,62.75,45.1
Habitat for Humanity,Arghakhanchi,40.0,71.47,52.59
Habitat for Humanity,Baglung,66.67,52.63,61.05
Habitat for Humanity,Baitadi,40.0,69.89,51.96
Habitat for Humanity,Bajhang,50.0,67.1,56.84
Habitat for Humanity,Bajura,40.0,63.77,49.51
Habitat for Humanity,Banke,25.0,64.48,40.79
Habitat for Humanity,Bara,25.0,57.38,37.95
Habitat for Humanity,Bardiya,50.0,47.41,48.96
Habitat for Humanity,Bhaktapur,40.0,61.9,48.76
Habitat for Humanity,Bhojpur,50.0,39.3,45.72
Habitat for Humanity,Chitwan,50.0,40.45,46.18
Habitat for Humanity,Dadeldhura,40.0,71.21,52.48
Habitat for Humanity,Dailekh,40.0,59.2,47.68
Habitat for Humanity,Dang,25.0,54.8,36.92
Habitat for Humanity,Darchula,50.0,66.16,56.46
Habitat for Humanity,Dhading,40.0,74.0,53.6
Habitat for Humanity,Dhankuta,50.0,63.64,55.46
Habitat for Humanity,Dhanusha,25.0,57.27,37.91
Habitat for Humanity,Dolakha,40.0,75.1,54.04
Habitat for Humanity,Dolpa,25.0,55.32,37.13
Habitat for Humanity,Doti,40.0,71.28,52.51
Habitat for Humanity,Gorkha,40.0,79.1,55.64
Habitat for Humanity,Gulmi,66.67,48.32,59.33
Habitat for Humanity,Humla,40.0,69.08,51.63
Habitat for Humanity,Ilam,0.0,58.62,23.45
Habitat for Humanity,Jajarkot,66.67,53.69,61.47
Habitat for Humanity,Jhapa,66.67,52.21,60.88
Habitat for Humanity,Jumla,0.0,52.45,20.98
Habitat for Humanity,Kailali,50.0,56.18,52.47
Habitat for Humanity,Kalikot,25.0,55.37,37.15
Habitat for Humanity,Kanchanpur,40.0,60.94,48.37
Habitat for Humanity,Kapilvastu,25.0,65.85,41.34
Habitat for Humanity,Kaski,25.0,64.39,40.75
Habitat for Humanity,Kathmandu,40.0,60.65,48.26
Habitat for Humanity,Kavrepalanchok,40.0,65.8,50.32
Habitat for Humanity,Khotang,50.0,41.25,46.5
Habitat for Humanity,Lalitpur,40.0,57.1,46.84
Habitat for Humanity,Lamjung,50.0,46.7,48.68
Habitat for Humanity,Mahottari,33.33,58.84,43.54
Habitat for Humanity,Makwanpur,33.33,51.2,40.48
Habitat for Humanity,Manang,66.67,54.58,61.83
Habitat for Humanity,Morang,66.67,57.53,63.01
Habitat for Humanity,Mugu,50.0,52.87,51.15
Habitat for Humanity,Mustang,25.0,69.51,42.8
Habitat for Humanity,Myagdi,66.67,60.77,64.31
Habitat for Humanity,Nawalpur,50.0,58.64,53.46
Habitat for Humanity,Nuwakot,40.0,69.9,51.96
Habitat for Humanity,Okhaldhunga,50.0,44.45,47.78
Habitat for Humanity,Palpa,50.0,52.98,51.19
Habitat for Humanity,Panchthar,50.0,44.98,47.99
Habitat for Humanity,Parasi,50.0,51.52,50.61
Habitat for Humanity,Parbat,50.0,66.99,56.79
Habitat for Humanity,Parsa,33.33,57.2,42.88
Habitat for Humanity,Pyuthan,33.33,61.13,44.45
Habitat for Humanity,Ramechhap,40.0,70.45,52.18
Habitat for Humanity,Rasuwa,33.33,65.78,46.31
Habitat for Humanity,Rautahat,66.67,57.41,62.96
Habitat for Humanity,Rolpa,40.0,62.17,48.87
Habitat for Humanity,Rukum (East),100.0,44.16,77.66
Habitat for Humanity,Rukum (West),25.0,62.16,39.86
Habitat for Humanity,Rupandehi,25.0,59.5,38.8
Habitat for Humanity,Salyan,33.33,52.66,41.07
Habitat for Humanity,Sankhuwasabha,40.0,64.54,49.82
Habitat for Humanity,Saptari,50.0,59.66,53.86
Habitat for Humanity,Sarlahi,66.67,64.32,65.73
Habitat for Humanity,Sindhuli,50.0,46.7,48.68
Habitat for Humanity,Sindhupalchok,40.0,83.9,57.56
Habitat for Humanity,Siraha,50.0,46.54,48.62
Habitat for Humanity,Solukhumbu,50.0,42.8,47.12
Habitat for Humanity,Sunsari,66.67,50.86,60.35
Habitat for Humanity,Surkhet,40.0,63.47,49.39
Habitat for Humanity,Syangja,33.33,54.21,41.68
Habitat for Humanity,Tanahun,50.0,62.7,55.08
Habitat for Humanity,Taplejung,66.67,53.6,61.44
Habitat for Humanity,Terhathum,25.0,66.04,41.42
Habitat for Humanity,Udayapur,50.0,35.95,44.38
Oxfam,Achham,66.67,62.75,65.1
Oxfam,Arghakhanchi,80.0,71.47,76.59
Oxfam,Baglung,100.0,52.63,81.05
Oxfam,Baitadi,80.0,69.89,75.96
Oxfam,Bajhang,75.0,67.1,71.84
Oxfam,Bajura,80.0,63.77,73.51
Oxfam,Banke,75.0,64.48,70.79
Oxfam,Bara,75.0,57.38,67.95
Oxfam,Bardiya,100.0,47.41,78.96
Oxfam,Bhaktapur,80.0,61.9,72.76
Oxfam,Bhojpur,50.0,39.3,45.72
Oxfam,Chitwan,50.0,40.45,46.18
Oxfam,Dadeldhura,80.0,71.21,76.48
Oxfam,Dailekh,80.0,59.2,71.68
Oxfam,Dang,75.0,54.8,66.92
Oxfam,Darchula,75.0,66.16,71.46
Oxfam,Dhading,80.0,74.0,77.6
Oxfam,Dhankuta,75.0,63.64,70.46
Oxfam,Dhanusha,75.0,57.27,67.91
Oxfam,Dolakha,80.0,75.1,78.04
Oxfam,Dolpa,75.0,55.32,67.13
Oxfam,Doti,80.0,71.28,76.51
Oxfam,Gorkha,80.0,79.1,79.64
Oxfam,Gulmi,100.0,48.32,79.33
Oxfam,Humla,80.0,69.08,75.63
Oxfam,Ilam,50.0,58.62,53.45
Oxfam,Jajarkot,66.67,53.69,61.47
Oxfam,Jhapa,100.0,52.21,80.88
Oxfam,Jumla,50.0,52.45,50.98
Oxfam,Kailali,100.0,56.18,82.47
Oxfam,Kalikot,75.0,55.37,67.15
Oxfam,Kanchanpur,80.0,60.94,72.37
Oxfam,Kapilvastu,75.0,65.85,71.34
Oxfam,Kaski,75.0,64.39,70.75
Oxfam,Kathmandu,80.0,60.65,72.26
Oxfam,Kavrepalanchok,80.0,65.8,74.32
Oxfam,Khotang,50.0,41.25,46.5
Oxfam,Lalitpur,80.0,57.1,70.84
Oxfam,Lamjung,50.0,46.7,48.68
Oxfam,Mahottari,100.0,58.84,83.54
Oxfam,Makwanpur,66.67,51.2,60.48
Oxfam,Manang,100.0,54.58,81.83
Oxfam,Morang,100.0,57.53,83.01
Oxfam,Mugu,75.0,52.87,66.15
Oxfam,Mustang,75.0,69.51,72.8
Oxfam,Myagdi,66.67,60.77,64.31
Oxfam,Nawalpur,75.0,58.64,68.46
Oxfam,Nuwakot,80.0,69.9,75.96
Oxfam,Okhaldhunga,50.0,44.45,47.78
Oxfam,Palpa,50.0,52.98,51.19
Oxfam,Panchthar,50.0,44.98,47.99
Oxfam,Parasi,75.0,51.52,65.61
Oxfam,Parbat,75.0,66.99,71.79
Oxfam,Parsa,66.67,57.2,62.88
Oxfam,Pyuthan,66.67,61.13,64.45
Oxfam,Ramechhap,80.0,70.45,76.18
Oxfam,Rasuwa,100.0,65.78,86.31
Oxfam,Rautahat,100.0,57.41,82.96
Oxfam,Rolpa,80.0,62.17,72.87
Oxfam,Rukum (East),100.0,44.16,77.66
Oxfam,Rukum (West),75.0,62.16,69.86
Oxfam,Rupandehi,75.0,59.5,68.8
Oxfam,Salyan,66.67,52.66,61.07
Oxfam,Sankhuwasabha,80.0,64.54,73.82
Oxfam,Saptari,100.0,59.66,83.86
Oxfam,Sarlahi,100.0,64.32,85.73
Oxfam,Sindhuli,50.0,46.7,48.68
Oxfam,Sindhupalchok,80.0,83.9,81.56
Oxfam,Siraha,75.0,46.54,63.62
Oxfam,Solukhumbu,50.0,42.8,47.12
Oxfam,Sunsari,100.0,50.86,80.35
Oxfam,Surkhet,80.0,63.47,73.39
Oxfam,Syangja,66.67,54.21,61.68
Oxfam,Tanahun,75.0,62.7,70.08
Oxfam,Taplejung,100.0,53.6,81.44
Oxfam,Terhathum,75.0,66.04,71.42
Oxfam,Udayapur,50.0,35.95,44.38
Red Cross,Achham,100.0,62.75,85.1
Red Cross,Arghakhanchi,80.0,71.47,76.59
Red Cross,Baglung,66.67,52.63,61.05
Red Cross,Baitadi,80.0,69.89,75.96
Red Cross,Bajhang,75.0,67.1,71.84
Red Cross,Bajura,80.0,63.77,73.51
Red Cross,Banke,100.0,64.48,85.79
Red Cross,Bara,75.0,57.38,67.95
Red Cross,Bardiya,50.0,47.41,48.96
Red Cross,Bhaktapur,80.0,61.9,72.76
Red Cross,Bhojpur,50.0,39.3,45.72
Red Cross,Chitwan,50.0,40.45,46.18
Red Cross,Dadeldhura,80.0,71.21,76.48
Red Cross,Dailekh,80.0,59.2,71.68
Red Cross,Dang,75.0,54.8,66.92
Red Cross,Darchula,75.0,66.16,71.46
Red Cross,Dhading,80.0,74.0,77.6
Red Cross,Dhankuta,75.0,63.64,70.46
Red Cross,Dhanusha,75.0,57.27,67.91
Red Cross,Dolakha,80.0,75.1,78.04
Red Cross,Dolpa,75.0,55.32,67.13
Red Cross,Doti,80.0,71.28,76.51
Red Cross,Gorkha,80.0,79.1,79.64
Red Cross,Gulmi,66.67,48.32,59.33
Red Cross,Humla,80.0,69.08,75.63
Red Cross,Ilam,100.0,58.62,83.45
Red Cross,Jajarkot,66.67,53.69,61.47
Red Cross,Jhapa,66.67,52.21,60.88
Red Cross,Jumla,100.0,52.45,80.98
Red Cross,Kailali,100.0,56.18,82.47
Red Cross,Kalikot,75.0,55.37,67.15
Red Cross,Kanchanpur,80.0,60.94,72.37
Red Cross,Kapilvastu,100.0,65.85,86.34
Red Cross,Kaski,75.0,64.39,70.75
Red Cross,Kathmandu,80.0,60.65,72.26
Red Cross,Kavrepalanchok,80.0,65.8,74.32
Red Cross,Khotang,50.0,41.25,46.5
Red Cross,Lalitpur,80.0,57.1,70.84
Red Cross,Lamjung,50.0,46.7,48.68
Red Cross,Mahottari,66.67,58.84,63.54
Red Cross,Makwanpur,100.0,51.2,80.48
Red Cross,Manang,66.67,54.58,61.83
Red Cross,Morang,66.67,57.53,63.01
Red Cross,Mugu,75.0,52.87,66.15
Red Cross,Mustang,100.0,69.51,87.8
Red Cross,Myagdi,66.67,60.77,64.31
Red Cross,Nawalpur,75.0,58.64,68.46
Red Cross,Nuwakot,80.0,69.9,75.96
Red Cross,Okhaldhunga,50.0,44.45,47.78
Red Cross,Palpa,100.0,52.98,81.19
Red Cross,Panchthar,50.0,44.98,47.99
Red Cross,Parasi,75.0,51.52,65.61
Red Cross,Parbat,75.0,66.99,71.79
Red Cross,Parsa,100.0,57.2,82.88
Red Cross,Pyuthan,100.0,61.13,84.45
Red Cross,Ramechhap,80.0,70.45,76.18
Red Cross,Rasuwa,100.0,65.78,86.31
Red Cross,Rautahat,66.67,57.41,62.96
Red Cross,Rolpa,80.0,62.17,72.87
Red Cross,Rukum (East),0.0,44.16,17.66
Red Cross,Rukum (West),75.0,62.16,69.86
Red Cross,Rupandehi,75.0,59.5,68.8
Red Cross,Salyan,66.67,52.66,61.07
Red Cross,Sankhuwasabha,80.0,64.54,73.82
Red Cross,Saptari,100.0,59.66,83.86
Red Cross,Sarlahi,66.67,64.32,65.73
Red Cross,Sindhuli,50.0,46.7,48.68
Red Cross,Sindhupalchok,80.0,83.9,81.56
Red Cross,Siraha,75.0,46.54,63.62
Red Cross,Solukhumbu,50.0,42.8,47.12
Red Cross,Sunsari,66.67,50.86,60.35
Red Cross,Surkhet,80.0,63.47,73.39
Red Cross,Syangja,66.67,54.21,61.68
Red Cross,Tanahun,75.0,62.7,70.08
Red Cross,Taplejung,66.67,53.6,61.44
Red Cross,Terhathum,100.0,66.04,86.42
Red Cross,Udayapur,50.0,35.95,44.38
Relief Nepal Achham #1,Achham,100.0,62.75,85.1
Relief Nepal Achham #1,Arghakhanchi,100.0,71.47,88.59
Relief Nepal Achham #1,Baglung,100.0,52.63,81.05
Relief Nepal Achham #1,Baitadi,100.0,69.89,87.96
Relief Nepal Achham #1,Bajhang,100.0,67.1,86.84
Relief Nepal Achham #1,Bajura,100.0,63.77,85.51
Relief Nepal Achham #1,Banke,100.0,64.48,85.79
Relief Nepal Achham #1,Bara,100.0,57.38,82.95
Relief Nepal Achham #1,Bardiya,100.0,47.41,78.96
Relief Nepal Achham #1,Bhaktapur,100.0,61.9,84.76
Relief Nepal Achham #1,Bhojpur,50.0,39.3,45.72
Relief Nepal Achham #1,Chitwan,50.0,40.45,46.18
Relief Nepal Achham #1,Dadeldhura,100.0,71.21,88.48
Relief Nepal Achham #1,Dailekh,100.0,59.2,83.68
Relief Nepal Achham #1,Dang,100.0,54.8,81.92
Relief Nepal Achham #1,Darchula,100.0,66.16,86.46
Relief Nepal Achham #1,Dhading,100.0,74.0,89.6
Relief Nepal Achham #1,Dhankuta,100.0,63.64,85.46
Relief Nepal Achham #1,Dhanusha,100.0,57.27,82.91
Relief Nepal Achham #1,Dolakha,100.0,75.1,90.04
Relief Nepal Achham #1,Dolpa,100.0,55.32,82.13
Relief Nepal Achham #1,Doti,100.0,71.28,88.51
Relief Nepal Achham #1,Gorkha,100.0,79.1,91.64
Relief Nepal Achham #1,Gulmi,100.0,48.32,79.33
Relief Nepal Achham #1,Humla,100.0,69.08,87.63
Relief Nepal Achham #1,Ilam,100.0,58.62,83.45
Relief Nepal Achham #1,Jajarkot,100.0,53.69,81.47
Relief Nepal Achham #1,Jhapa,100.0,52.21,80.88
Relief Nepal Achham #1,Jumla,100.0,52.45,80.98
Relief Nepal Achham #1,Kailali,100.0,56.18,82.47
Relief Nepal Achham #1,Kalikot,100.0,55.37,82.15
Relief Nepal Achham #1,Kanchanpur,100.0,60.94,84.37
Relief Nepal Achham #1,Kapilvastu,100.0,65.85,86.34
Relief Nepal Achham #1,Kaski,100.0,64.39,85.75
Relief Nepal Achham #1,Kathmandu,100.0,60.65,84.26
Relief Nepal Achham #1,Kavrepalanchok,100.0,65.8,86.32
Relief Nepal Achham #1,Khotang,50.0,41.25,46.5
Relief Nepal Achham #1,Lalitpur,100.0,57.1,82.84
Relief Nepal Achham #1,Lamjung,50.0,46.7,48.68
Relief Nepal Achham #1,Mahottari,100.0,58.84,83.54
Relief Nepal Achham #1,Makwanpur,100.0,51.2,80.48
Relief Nepal Achham #1,Manang,100.0,54.58,81.83
Relief Nepal Achham #1,Morang,100.0,57.53,83.01
Relief Nepal Achham #1,Mugu,100.0,52.87,81.15
Relief Nepal Achham #1,Mustang,100.0,69.51,87.8
Relief Nepal Achham #1,Myagdi,100.0,60.77,84.31
Relief Nepal Achham #1,Nawalpur,100.0,58.64,83.46
Relief Nepal Achham #1,Nuwakot,100.0,69.9,87.96
Relief Nepal Achham #1,Okhaldhunga,50.0,44.45,47.78
Relief Nepal Achham #1,Palpa,100.0,52.98,81.19
Relief Nepal Achham #1,Panchthar,100.0,44.98,77.99
Relief Nepal Achham #1,Parasi,100.0,51.52,80.61
Relief Nepal Achham #1,Parbat,100.0,66.99,86.79
Relief Nepal Achham #1,Parsa,100.0,57.2,82.88
Relief Nepal Achham #1,Pyuthan,100.0,61.13,84.45
Relief Nepal Achham #1,Ramechhap,100.0,70.45,88.18
Relief Nepal Achham #1,Rasuwa,100.0,65.78,86.31
Relief Nepal Achham #1,Rautahat,100.0,57.41,82.96
Relief Nepal Achham #1,Rolpa,100.0,62.17,84.87
Relief Nepal Achham #1,Rukum (East),100.0,44.16,77.66
Relief Nepal Achham #1,Rukum (West),100.0,62.16,84.86
Relief Nepal Achham #1,Rupandehi,100.0,59.5,83.8
Relief Nepal Achham #1,Salyan,100.0,52.66,81.07
Relief Nepal Achham #1,Sankhuwasabha,100.0,64.54,85.82
Relief Nepal Achham #1,Saptari,100.0,59.66,83.86
Relief Nepal Achham #1,Sarlahi,100.0,64.32,85.73
Relief Nepal Achham #1,Sindhuli,50.0,46.7,48.68
Relief Nepal Achham #1,Sindhupalchok,100.0,83.9,93.56
Relief Nepal Achham #1,Siraha,100.0,46.54,78.62
Relief Nepal Achham #1,Solukhumbu,50.0,42.8,47.12
Relief Nepal Achham #1,Sunsari,100.0,50.86,80.35
Relief Nepal Achham #1,Surkhet,100.0,63.47,85.39
Relief Nepal Achham #1,Syangja,100.0,54.21,81.68
Relief Nepal Achham #1,Tanahun,100.0,62.7,85.08
Relief Nepal Achham #1,Taplejung,100.0,53.6,81.44
Relief Nepal Achham #1,Terhathum,100.0,66.04,86.42
Relief Nepal Achham #1,Udayapur,50.0,35.95,44.38
Relief Nepal Achham #2,Achham,100.0,62.75,85.1
Relief Nepal Achham #2,Arghakhanchi,100.0,71.47,88.59
Relief Nepal Achham #2,Baglung,100.0,52.63,81.05
Relief Nepal Achham #2,Baitadi,100.0,69.89,87.96
Relief Nepal Achham #2,Bajhang,100.0,67.1,86.84
Relief Nepal Achham #2,Bajura,100.0,63.77,85.51
Relief Nepal Achham #2,Banke,100.0,64.48,85.79
Relief Nepal Achham #2,Bara,100.0,57.38,82.95
Relief Nepal Achham #2,Bardiya,100.0,47.41,78.96
Relief Nepal Achham #2,Bhaktapur,100.0,61.9,84.76
Relief Nepal Achham #2,Bhojpur,50.0,39.3,45.72
Relief Nepal Achham #2,Chitwan,50.0,40.45,46.18
Relief Nepal Achham #2,Dadeldhura,100.0,71.21,88.48
Relief Nepal Achham #2,Dailekh,100.0,59.2,83.68
Relief Nepal Achham #2,Dang,100.0,54.8,81.92
Relief Nepal Achham #2,Darchula,100.0,66.16,86.46
Relief Nepal Achham #2,Dhading,100.0,74.0,89.6
Relief Nepal Achham #2,Dhankuta,100.0,63.64,85.46
Relief Nepal Achham #2,Dhanusha,100.0,57.27,82.91
Relief Nepal Achham #2,Dolakha,100.0,75.1,90.04
Relief Nepal Achham #2,Dolpa,100.0,55.32,82.13
Relief Nepal Achham #2,Doti,100.0,71.28,88.51
Relief Nepal Achham #2,Gorkha,100.0,79.1,91.64
Relief Nepal Achham #2,Gulmi,100.0,48.32,79.33
Relief Nepal Achham #2,Humla,100.0,69.08,87.63
Relief Nepal Achham #2,Ilam,100.0,58.62,83.45
Relief Nepal Achham #2,Jajarkot,100.0,53.69,81.47
Relief Nepal Achham #2,Jhapa,100.0,52.21,80.88
Relief Nepal Achham #2,Jumla,100.0,52.45,80.98
Relief Nepal Achham #2,Kailali,100.0,56.18,82.47
Relief Nepal Achham #2,Kalikot,100.0,55.37,82.15
Relief Nepal Achham #2,Kanchanpur,100.0,60.94,84.37
Relief Nepal Achham #2,Kapilvastu,100.0,65.85,86.34
Relief Nepal Achham #2,Kaski,100.0,64.39,85.75
Relief Nepal Achham #2,Kathmandu,100.0,60.65,84.26
Relief Nepal Achham #2,Kavrepalanchok,100.0,65.8,86.32
Relief Nepal Achham #2,Khotang,50.0,41.25,46.5
Relief Nepal Achham #2,Lalitpur,100.0,57.1,82.84
Relief Nepal Achham #2,Lamjung,50.0,46.7,48.68
Relief Nepal Achham #2,Mahottari,100.0,58.84,83.54
Relief Nepal Achham #2,Makwanpur,100.0,51.2,80.48
Relief Nepal Achham #2,Manang,100.0,54.58,81.83
Relief Nepal Achham #2,Morang,100.0,57.53,83.01
Relief Nepal Achham #2,Mugu,100.0,52.87,81.15
Relief Nepal Achham #2,Mustang,100.0,69.51,87.8
Relief Nepal Achham #2,Myagdi,100.0,60.77,84.31
Relief Nepal Achham #2,Nawalpur,100.0,58.64,83.46
Relief Nepal Achham #2,Nuwakot,100.0,69.9,87.96
Relief Nepal Achham #2,Okhaldhunga,50.0,44.45,47.78
Relief Nepal Achham #2,Palpa,100.0,52.98,81.19
Relief Nepal Achham #2,Panchthar,100.0,44.98,77.99
Relief Nepal Achham #2,Parasi,100.0,51.52,80.61
Relief Nepal Achham #2,Parbat,100.0,66.99,86.79
Relief Nepal Achham #2,Parsa,100.0,57.2,82.88
Relief Nepal Achham #2,Pyuthan,100.0,61.13,84.45
Relief Nepal Achham #2,Ramechhap,100.0,70.45,88.18
Relief Nepal Achham #2,Rasuwa,100.0,65.78,86.31
Relief Nepal Achham #2,Rautahat,100.0,57.41,82.96
Relief Nepal Achham #2,Rolpa,100.0,62.17,84.87
Relief Nepal Achham #2,Rukum (East),100.0,44.16,77.66
Relief Nepal Achham #2,Rukum (West),100.0,62.16,84.86
Relief Nepal Achham #2,Rupandehi,100.0,59.5,83.8
Relief Nepal Achham #2,Salyan,100.0,52.66,81.07
